flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_real,ACCy_real,ACCz_real,ACCx_world,ACCy_world,ACCz_world,GRAx,GRAy,GRAz,ACCx_raw,ACCy_raw,ACCz_raw,GYRx_raw,GYRy_raw,GYRz_raw
2896.0,2803.0,2871.0,3121.0,3021.0,0.992371,-0.049866,-0.112366,0.00177,-1.0,-1.0,-1.0,2004.0,-893.0,7746.0,178.0,-78.0,-197.0,216.0,-94.0,-143.0,0.22284,-0.099368,0.96969,3984.0,-1792.0,15528.0,-8.0,-5.0,-2.0
2897.0,2807.0,2877.0,3123.0,3027.0,0.992371,-0.049927,-0.112488,0.00177,-1.0,-1.0,-1.0,2002.0,-890.0,7746.0,174.0,-74.0,-197.0,213.0,-90.0,-144.0,0.223082,-0.09949,0.969656,3998.0,-1770.0,15508.0,-6.0,-4.0,-4.0
2896.0,2811.0,2871.0,3120.0,3026.0,0.99231,-0.05011,-0.112732,0.001709,-1.0,-1.0,-1.0,2005.0,-893.0,7755.0,173.0,-75.0,-186.0,209.0,-90.0,-134.0,0.223559,-0.099834,0.969462,4032.0,-1786.0,15506.0,-5.0,-1.0,-4.0
2896.0,2811.0,2869.0,3123.0,3023.0,0.99231,-0.050171,-0.112854,0.001709,-1.0,-1.0,-1.0,2000.0,-895.0,7752.0,166.0,-76.0,-189.0,203.0,-91.0,-138.0,0.223801,-0.099956,0.969428,3950.0,-1784.0,15490.0,-5.0,-2.0,-5.0
2895.0,2807.0,2879.0,3121.0,3067.0,0.99231,-0.050293,-0.113037,0.001648,-1.0,-1.0,-1.0,1999.0,-893.0,7742.0,162.0,-72.0,-199.0,201.0,-89.0,-149.0,0.22417,-0.100185,0.969374,3950.0,-1750.0,15424.0,-5.0,-2.0,-5.0
2896.0,2807.0,2870.0,3122.0,3023.0,0.992249,-0.050354,-0.113159,0.001587,-1.0,-1.0,-1.0,1995.0,-896.0,7743.0,156.0,-74.0,-196.0,195.0,-90.0,-147.0,0.224404,-0.100287,0.969219,3972.0,-1796.0,15478.0,-5.0,-2.0,-5.0
2896.0,2807.0,2871.0,3122.0,3015.0,0.992249,-0.050537,-0.113342,0.001526,-1.0,-1.0,-1.0,2001.0,-897.0,7751.0,159.0,-72.0,-188.0,196.0,-88.0,-139.0,0.224773,-0.100637,0.969159,4016.0,-1782.0,15520.0,-7.0,-2.0,-5.0
2895.0,2805.0,2877.0,3122.0,3025.0,0.992249,-0.050598,-0.113464,0.001526,-1.0,-1.0,-1.0,2007.0,-895.0,7755.0,163.0,-69.0,-184.0,199.0,-84.0,-134.0,0.225015,-0.100758,0.969125,4052.0,-1780.0,15526.0,-5.0,-3.0,-6.0
2896.0,2806.0,2874.0,3119.0,3023.0,0.992188,-0.05072,-0.113708,0.001404,-1.0,-1.0,-1.0,2015.0,-894.0,7759.0,167.0,-66.0,-178.0,202.0,-81.0,-128.0,0.225498,-0.100967,0.968936,4030.0,-1806.0,15542.0,-5.0,-2.0,-6.0
2903.0,2807.0,2871.0,3121.0,3024.0,0.992188,-0.050781,-0.113831,0.001404,-1.0,-1.0,-1.0,2012.0,-896.0,7755.0,162.0,-67.0,-182.0,198.0,-82.0,-132.0,0.22574,-0.101089,0.968902,4006.0,-1810.0,15492.0,-7.0,-4.0,-5.0
